"id","production_country"
"tm91046","'EG'"
"tm75022","'US'"
"tm41508","'US'"
"ts67595","'CO'"
"tm240162","'IN'"
"tm901947","'TW'"
"tm49405","'JP'"
"tm82765","'IN'"
"tm82765","'US'"
"tm33981","'CA'"
"ts52849","'GB'"
"tm95238","'US'"
"tm95238","'CA'"
"tm32885","'IN'"
"ts72322","'CO'"
"ts63295","'AR'"
"ts63295","'ES'"
"ts23319","'GB'"
"ts21695","'KR'"
"tm72587","'IN'"
"tm211478","'IN'"
"tm99776","'US'"
"tm83175","'IN'"
"tm139349","'US'"
"tm59880","'US'"
"ts56589","'KR'"
"tm61056","'IN'"
"tm129763","'IN'"
"ts21664","'US'"
"tm44378","'CL'"
"tm25842","'US'"
"tm34846","'JP'"
"tm71119","'US'"
"tm170873","'US'"
"tm22540","'IN'"
"tm96037","'JP'"
"tm110923","'FR'"
"tm110923","'MA'"
"tm110923","'DE'"
"tm110923","'PS'"
"tm168869","'AU'"
"ts37200","'FR'"
"tm147686","'US'"
"tm93612","'JP'"
"tm36164","'JP'"
"tm30170","'IN'"
"tm29731","'IN'"
"tm147494","'JP'"
"tm44530","'IN'"
"tm89936","'KR'"
"ts98353","'US'"
"ts44663","'FR'"
"tm81461","'AR'"
"tm81461","'DE'"
"tm81461","'UY'"
"tm81461","'ES'"
"tm155761","'IN'"
"tm48083","'FR'"
"tm84348","'US'"
"tm175687","'US'"
"tm33067","'IN'"
"tm70222","'IN'"
"tm105278","'JP'"
"tm352243","'US'"
"ts98316","'GB'"
"tm82718","'TR'"
"tm98975","'IN'"
"ts98252","'US'"
"tm101609","'IN'"
"tm39557","'IN'"
"tm150521","'HK'"
"tm30289","'US'"
"tm141117","'IN'"
"tm80339","'JP'"
"tm33729","'IN'"
"tm93004","'IN'"
"ts13411","'US'"
"ts1464","'CO'"
"tm145243","'IN'"
"tm34524","'JP'"
"tm111226","'IN'"
"tm23441","'IN'"
"tm166293","'IN'"
"tm24576","'JP'"
"tm92977","'IN'"
"tm77348","'IN'"
"ts34414","'CO'"
"ts29199","'US'"
"ts29199","'GB'"
"tm91323","'IN'"
"tm88366","'IN'"
"tm156575","'IN'"
"tm164389","'IN'"
"tm37945","'IN'"
"tm106625","'IN'"
"tm65142","'JP'"
"tm99450","'IN'"
"tm149209","'IN'"
"tm23977","'CL'"
"tm23977","'AR'"
"tm160596","'CZ'"
"tm160596","'GB'"
"tm160596","'DK'"
"tm160596","'NL'"
"tm160596","'SE'"
"tm129971","'IN'"
"tm56428","'CA'"
"ts18653","'IN'"
"tm177687","'JP'"
"tm77863","'IN'"
"tm80455","'IN'"
"tm184732","'IN'"
"tm89764","'JP'"
"ts4866","'TW'"
"tm134407","'IN'"
"tm103133","'IN'"
"tm54147","'IN'"
"tm54147","'US'"
"ts137477","'US'"
"ts19384","'US'"
"tm101684","'TR'"
"ts306188","'CA'"
"tm152724","'IN'"
"ts204466","'CO'"
"tm96168","'IN'"
"tm146887","'IN'"
"tm138902","'JP'"
"tm165809","'IN'"
"tm31335","'IN'"
"tm43179","'IN'"
"tm170169","'IN'"
"tm84316","'IN'"
"tm112235","'IN'"
"tm368679","'IN'"
"ts74928","'FR'"
"tm148041","'IN'"
"tm176297","'IN'"
"tm68191","'DE'"
"tm352863","'US'"
"tm25029","'TW'"
"ts40702","'SG'"
"tm237621","'NG'"
"tm22989","'US'"
"tm35652","'IN'"
"tm80487","'US'"
"tm44634","'US'"
"tm22558","'MY'"
"tm52352","'US'"
"tm104349","'KR'"
"tm85243","'CA'"
"tm36636","'IN'"
"tm226362","'Lebanon'"
"tm145690","'NG'"
"tm31564","'US'"
"tm41953","'GB'"
"tm98475","'IN'"
"tm95434","'HK'"
"ts44053","'CN'"
"tm96595","'IN'"
"ts4924","'TW'"
"ts178360","'CO'"
"tm154802","'IN'"
"tm51493","'TR'"
"tm97982","'IN'"
"tm52176","'IN'"
"tm102848","'IN'"
"tm114504","'IN'"
"tm315865","'BR'"
"tm340006","'JP'"
"tm154375","'IN'"
"tm134140","'IN'"
"tm27484","'IN'"
"tm81864","'HK'"
"tm241875","'US'"
"tm29028","'BE'"
"tm29028","'FR'"
"tm29028","'ES'"
"tm29028","'CH'"
"tm29028","'PS'"
"tm164591","'IN'"
"tm130301","'IN'"
"tm712151","'ZA'"
"ts12444","'TW'"
"tm91176","'NG'"
"tm91176","'US'"
"tm143510","'IN'"
"tm308960","'GB'"
"tm144835","'US'"
"tm135795","'LB'"
"tm135795","'FR'"
"tm34924","'HK'"
"tm49865","'IN'"
"ts39604","'TW'"
"tm598375","'IN'"
"tm96052","'AR'"
"tm62369","'CN'"
"tm62369","'HK'"
"tm32915","'IN'"
"ts1413","'TW'"
"tm254052","'IN'"
"tm91125","'IN'"
"ts8614","'SG'"
"tm174256","'CA'"
"tm174256","'US'"
"tm100106","'PH'"
"ts188031","'MX'"
"tm85689","'IN'"
"ts25707","'SG'"
"tm38454","'US'"
"tm57586","'IN'"
"ts23797","'TW'"
"tm76029","'LB'"
"tm76029","'GB'"
"tm76029","'FR'"
"tm42831","'IN'"
"ts70843","'TW'"
"tm216753","'MX'"
"tm168751","'LB'"
"tm101540","'IN'"
"tm142153","'IN'"
"tm92671","'HK'"
"tm88343","'IN'"
"ts23353","'SG'"
"tm628693","'IN'"
"tm155774","'FR'"
"tm155774","'DE'"
"tm155774","'KW'"
"tm155774","'PS'"
"tm46867","'IN'"
"tm95507","'IN'"
"tm75544","'IN'"
"tm144263","'IN'"
"tm21155","'LB'"
"tm21155","'FR'"
"tm85369","'IN'"
"tm341561","'PS'"
"tm140653","'HK'"
"tm56296","'US'"
"tm311516","'IN'"
"ts29581","'SG'"
"tm152413","'MY'"
"ts82583","'SG'"
"tm130999","'IN'"
"tm28024","'PH'"
"tm1077037","'IN'"
"tm85563","'GB'"
"tm85563","'US'"
"tm85563","'AT'"
"tm85563","'FR'"
"tm85563","'DE'"
"tm85563","'NG'"
"ts124246","'IN'"
"tm254745","'PS'"
"tm76399","'PH'"
"ts82592","'SG'"
"tm639940","'US'"
"tm404676","'US'"
"tm89054","'XX'"
"tm252951","'US'"
"tm87672","'MY'"
"ts20660","'US'"
"tm68272","'US'"
"tm61801","'US'"
"tm44730","'US'"
"ts21095","'US'"
"tm39888","'US'"
"tm166978","'US'"
"ts20564","'US'"
"ts8175","'GB'"
"ts278","'GB'"
"tm170442","'US'"
"tm41792","'US'"
"ts21580","'US'"
"ts32835","'JP'"
"ts21599","'US'"
"tm32982","'US'"
"tm32982","'GB'"
"tm60292","'GB'"
"tm60292","'US'"
"ts27680","'GB'"
"ts20433","'JP'"
"tm171885","'US'"
"tm158304","'AE'"
"tm158304","'US'"
"ts17598","'US'"
"ts20458","'DK'"
"ts20458","'US'"
"ts20429","'JP'"
"ts20457","'US'"
"tm178201","'GB'"
"tm178201","'US'"
"tm36237","'FR'"
"tm36237","'US'"
"tm36237","'GB'"
"tm40319","'US'"
"ts6506","'HU'"
"ts6506","'US'"
"ts6506","'CA'"
"ts9794","'US'"
"ts33338","'GB'"
"tm39896","'US'"
"tm74848","'CA'"
"tm74848","'US'"
"ts27468","'US'"
"ts20500","'NO'"
"tm168921","'US'"
"tm160132","'US'"
"tm49592","'US'"
"tm167232","'GB'"
"tm167232","'FR'"
"tm167232","'DE'"
"tm38980","'US'"
"ts20556","'US'"
"tm69926","'US'"
"tm60844","'JP'"
"ts9246","'JP'"
"ts27835","'US'"
"ts20648","'JP'"
"ts18551","'GB'"
"tm62210","'JP'"
"tm106278","'US'"
"tm182586","'KR'"
"ts36647","'DK'"
"ts81858","'KR'"
"ts34740","'CA'"
"ts34740","'US'"
"tm176507","'US'"
"ts21081","'CO'"
"ts27586","'JP'"
"ts19779","'US'"
"ts22249","'JP'"
"tm178395","'US'"
"tm173195","'US'"
"tm173195","'HU'"
"tm173195","'IT'"
"tm69386","'GB'"
"tm174683","'GB'"
"tm174683","'US'"
"tm72845","'US'"
"tm160371","'US'"
"tm183547","'CA'"
"tm183547","'US'"
"ts34737","'MX'"
"tm59590","'JP'"
"ts34151","'JP'"
"tm161904","'US'"
"tm44165","'EG'"
"tm53034","'US'"
"ts32460","'TW'"
"ts26776","'JP'"
"tm164353","'IN'"
"ts39093","'US'"
"ts33349","'KR'"
"tm38064","'JP'"
"tm182125","'IN'"
"ts55532","'US'"
